Networking Skills Workshop,"Making new contacts is essential to the success of any business and regular networking is one of the best ways to promote your business. At this free, interactive workshop you will learn some simple techniques which will build your confidence and help you get the most out of networking  
",2010-05-24 00:00:00 +0100,"Reigate Town Hall, Castlefield Road, Reigate, Surrey, RH2 0SH",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=210&r.lc=en&type=EVENTS&itemId=5001526755,Business Link
Paying Your Employees,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-05-25 00:00:00 +0100,"London Road, Twickenham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/london.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-05-25 00:00:00 +0100,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-05-25 00:00:00 +0100,"Waterhouse Street, Hemel Hempstead",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/central.htm,Business Link
Business Operations for Start-Ups,"This workshop provides key information on the operations of a business including the resources required, systems and procedures, production, health and safety and quality.

This workshop also provides guidance on other areas such as the advantages and disadvantages of working from home and environmental issues.",2010-05-26 00:00:00 +0100,"84 Marsh Road, Rhyl, Denbighshire",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/w-1/W3_-_EVT7823_-_DEA_-_260510.aspx,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-05-27 00:00:00 +0100,"Castle Street, High Wycombe",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Financial Planning for Start-Ups,"This workshop will take you through the process of preparing and analysing financial statements and provides information on how to prepare cash flow forecasts, profit & loss accounts and balance sheets.

The workshop demonstrates how using and understanding these tools can help you to control your business finances.",2010-05-27 00:00:00 +0100,"84 Marsh Road, Rhyl, Denbighshire",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/w-1/W5_-_EVT7825_-_DEA_-_270510.aspx,Business Link
Financial Planning for Start-Ups,"This workshop will take you through the process of preparing and analysing financial statements and provides information on how to prepare cash flow forecasts, profit & loss accounts and balance sheets.

The workshop demonstrates how using and understanding these tools can help you to control your business finances.",2010-05-28 00:00:00 +0100,"127 Bute Street, Cardiff",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/w-1/W5_-_EVT7330_-_BIF_-_280510.aspx,Business Link
Procurement Trainaing Workshop - London 2012 Olympic & Paralympic Games  ,"Ensure you are ready to compete for London 2012 and other public sector opportunities. 

There are thousands of opportunities for SMEs to win business from the public sector. There are, however, a number of procedures and processes that you must understand to ensure that you maximise these opportunities. 
",2010-05-25 00:00:00 +0100,"Royal National College for the Blind, College Road, Hereford.",Business Link,http://www.procurementworkshops.co.uk/,Business Link
Introductory - Accessing Public Sector Tenders,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-05-26 00:00:00 +0100,"14 St Enoch Square, GLASGOW, G1 4DB",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-06-02 00:00:00 +0100,"Southgate Street, Gloucester",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-06-09 00:00:00 +0100,"John Smith Drive, Oxford Business Park South",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-06-10 00:00:00 +0100,"Silbury Boulevard, Milton Keynes",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Inward Processing Relief,"This course will cover Inward Processing Relief (IPR) and discuss the procedures, terminology and common errors involved. It will explain where reduced or nil duty and VAT costs may be available to those who are importing into the EU for re-exportation back outside the EU.",2010-06-16 00:00:00 +0100,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-06-21 00:00:00 +0100,"Thames Street, Staines",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Health and Safety Legislation - Half Day,Anyone who has some control over premises must take reasonable steps to reduce the risk from fire and make sure people can safely escape if there is a fire.  Speakers from the Fire Service will explain the requirements of Fire safety legislation and give practical information on how to help comply with this,2010-06-29 00:00:00 +0100,"The Methodist Church, Coventry Central Hall",Business Link,http://www.business-sustain.com/seminars-workshops/index.aspx,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",2010-06-01 00:00:00 +0100,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",2010-06-30 00:00:00 +0100,"New North Road, Exeter",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Business over Breakfast,"Come and network over breakfast with companies from around North Wales. 
During networking you will have the opportunity to speak to Academics and staff from the university to discuss the commercial expertise available at Glynd&#373;r University to help develop your business. To reserve your free place please contact Sam Clutton on 01978 293 183",2010-06-10 00:00:00 +0100,"Deeside Enterprise Centre, Rowleys Drive, Shotton, Queensferry",Business Link,http://www.glyndwr.ac.uk/en/AboutGlyndwrUniversity/Whatson/Eventsforthebusinesscommunity/,Business Link
Prince 2 - Foundation and Practioner ,"This internationally respected course is based on the new Managing Successful Projects with PRINCE2 2009.  The updated course will help those running projects of any size in any environment to effectively deliver what is required appropriately managing the costs, timescales, quality, scope, risks and benefits. To book a place on this event please contact Rebecca Arrowsmith on 02920 416414",2010-06-28 00:00:00 +0100,"UWIC Colchester, Colchester Avenue, Cardiff",Business Link,http://fs4b.wales.gov.uk/bdotg/action/eventDescription?site=230&r.lc=en&type=EVENTS&itemId=5001561667,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-01 00:00:00 +0100,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-02 00:00:00 +0100,"Mote Road, Maidstone",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-02 00:00:00 +0100,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-06 00:00:00 +0100,"London Road, Crawley",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-12 00:00:00 +0100,"Regent Hill, Brighton",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-12 00:00:00 +0100,"Watlington Street, Reading",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-15 00:00:00 +0100,"John Smith Drive, Oxford Business Park South",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-15 00:00:00 +0100,"Thames Street, Staines",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-16 00:00:00 +0100,"East Street, Farnham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-07-20 00:00:00 +0100,"High Street, Chatham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-05 00:00:00 +0100,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-05 00:00:00 +0100,"Castle Street, High Wycombe",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-05 00:00:00 +0100,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-12 00:00:00 +0100,"East Street, Farnham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-16 00:00:00 +0100,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-19 00:00:00 +0100,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-24 00:00:00 +0100,"Southgate Street, Gloucester",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-08-26 00:00:00 +0100,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",2010-08-03 00:00:00 +0100,"Northern Road, Cosham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",2010-08-11 00:00:00 +0100,"Temple Back, Bristol",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-09-10 00:00:00 +0100,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-09-22 00:00:00 +0100,"John Smith Drive, Oxford Business Park South",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-09-23 00:00:00 +0100,"Romsey Road, Southampton",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-09-27 00:00:00 +0100,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",2010-09-30 00:00:00 +0100,"Oxford Road, Bournemouth",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Advanced - Advanced Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-09-02 00:00:00 +0100,"Marywell Centre, Marywell Street, ABERDEEN, AB11 6JF",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Introductory - Accessing Public Sector Tenders,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-09-07 00:00:00 +0100,"33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Advanced - Advanced Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-09-09 00:00:00 +0100,"Marywell Centre, Marywell Street, ABERDEEN, AB11 6JF",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Advanced - Advanced Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-09-16 00:00:00 +0100,"Marywell Centre, Marywell Street, ABERDEEN, AB11 6JF",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Intermediate - Successful Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-09-30 00:00:00 +0100,"33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Intermediate - Successful Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-10-07 00:00:00 +0100,"33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Intermediate - Successful Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",2010-10-21 00:00:00 +0100,"33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
